anio_acci;nro_acci;fecha;desc_dia;hora_aprox;desc_ruta;km;cant_participantes;desc_participante;calle_avenida_km;total;heridos_leves;heridos_graves;heridos_gravisimos;ilesos;fallecidos;sin_datos;posicion_XY;desc_tipo_via;desc_ruta_ori;desc_loc;desc_dpto;desc_tipo_calzada;desc_tipo_banquina;desc_unidad_regional;desc_lugar_calzada;desc_zona;desc_prioridad;desc_estado_semaforo;desc_lugar_via;desc_estado_via;desc_estado_visibilidad;desc_luminosidad;desc_estado_clima;desc_tipo_colision;desc_tipo_atropello;desc_tipo_hecho;desc_pres_calzada;desc_senializacion;desc_separacion_via;desc_restriccion
2021;1380;14/5/2021;Viernes;23:00:00;;0.0;2;Automóvil,Moto/Ciclomotor;Lavalle Y Morelli;3;1;0;0;2;0;0;-33.00153, -60.77161;Calle;;PEREZ;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Reducida;Nocturna,Con luz artificial;Buen Tiempo;Frontal;S/D;Colisión;Ninguna;S/D;Cordón divisorio;Sin restricción
2021;1381;14/5/2021;Viernes;21:00:00;;0.0;2;Moto/Ciclomotor,Transporte de Pasajeros Urbano (> 8 asientos);J M Estrada 700;2;1;0;0;1;0;0;-33.02642,-60.61753;Calle;;VILLA GOBERNADOR GÁLVEZ;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Recta;Bueno;Buena;Nocturna,Con luz artificial;Buen Tiempo;Lateral;S/D;Colisión;Agua;Faltante;Cordón divisorio;Sin restricción
2021;1382;11/5/2021;Martes;11:20:00;Ruta Provincial 21;0.0;2;Moto/Ciclomotor,Automóvil;Av. Gral. San Martin Y Av. Juan Domingo Perón;2;1;0;0;1;0;0;-33.02551, -60.62475;Ruta;21;VILLA GOBERNADOR GÁLVEZ;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1384;11/5/2021;Martes;11:50:00;Ruta Provincial 21;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Av. Gral. San Martin Y Chubut;2;1;0;0;1;0;0;-33.03323, -60.61757;Ruta;21;VILLA GOBERNADOR GÁLVEZ;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Vertical;Cordón divisorio;Sin restricción
2021;1385;9/5/2021;Domingo;20:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Av. Juan Domingo Perón Y Iglesias;2;1;0;0;1;0;0;-33.02328, -60.6229;Calle;;VILLA GOBERNADOR GÁLVEZ;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Nocturna,Con luz artificial;Buen Tiempo;Lateral;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1386;9/5/2021;Domingo;17:20:00;;0.0;2;Automóvil,Moto/Ciclomotor;Alberdi Y Belgrano;3;2;0;0;1;0;0;-33.02996, -60.62466;Calle;;VILLA GOBERNADOR GÁLVEZ;Rosario;Asfalto;No existe;II;S/D;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Otro;S/D;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1388;19/4/2021;Lunes;18:10:00;;0.0;2;Automóvil,Automóvil;Av. Provincias Unidas Y Viamonte;4;1;0;0;3;0;0;-32.95625925064089,-60.712034404277;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Recta;Bueno;Buena;Diurna;Buen Tiempo;De alcance;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1389;7/4/2021;Miercoles;09:45:00;;0.0;2;Moto/Ciclomotor,Automóvil;Castellanos Y Cerrito;3;1;0;0;2;0;0;-32.955258632336,-60.678933031313;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1392;19/4/2021;Lunes;10:25:00;;0.0;2;Moto/Ciclomotor,Automóvil;Av. Pellegrini Y Barra;2;1;0;0;1;0;0;-32.948346644279,-60.706444169857;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;S/D;Colisión;Ninguna;Horizontal;Cordón divisorio;Sin restricción
2021;1393;14/4/2021;Miercoles;14:45:00;;0.0;2;Pickup/Utilitario,Moto/Ciclomotor;Bv. Avellaneda Y Cerrito;2;1;0;0;1;0;0;-32.95450534459,-60.683125493837;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;Funciona;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;S/D;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;1394;2/4/2021;Viernes;14:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Av. Pellegrini Y Magallanes;4;1;0;0;2;0;1;-32.948285058606,-60.704160623645;Avenida;;ROSARIO;Rosario;Asfalto;Pavimento;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;S/D;Colisión;Ninguna;Horizontal,Vertical;Cordón divisorio;Sin restricción
2021;1395;4/4/2021;Domingo;03:35:00;;0.0;2;Vehículo Oficial,Vehículo Oficial;Roullon 3800;4;1;0;0;3;0;0;-32.973189772396,-60.700967574113;Calle;;ROSARIO;Rosario;Asfalto;Pavimento;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;De alcance;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1396;25/4/2021;Domingo;08:40:00;;0.0;2;Automóvil,Bicicleta;Cerrito Y Pje. Marconi;2;1;0;0;1;0;0;-32.952854336003,-60.694844915931;Calle;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;Ciclista;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
2021;1397;21/4/2021;Miercoles;12:30:00;;0.0;2;Moto/Ciclomotor,Pickup/Utilitario;Bv. 27 De Febrero Y Fraga;3;1;0;0;2;0;0;-32.959195362148,-60.709483023255;Avenida;;ROSARIO;Rosario;Asfalto;No existe;II;Dentro;Urbana;Otra Señal;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;S/D;S/D;Colisión;Ninguna;Faltante;Cordón divisorio;Sin restricción
